,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchMappingEntropy,Mode_C2SL,Skew_NodeEccentricity,SD_Betweenness,Skew_Betweenness,,,,,,,,,,,,,,,
1,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,Min_SwitchesPerController,Max_SwitchesPerController,SwitchMappingEntropy,VarCoeff_E2EL,Skew_C2SL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,SD_Degree,Skew_Degree,VarCoeff_Degree,Median_Betweenness,Mean_ClosenessCentrality,Mean_NodeExpansion25,Mean_NodeExpansion50,SD_NodeExpansion50,,,,
2,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,Max_SwitchesPerController,SwitchMappingEntropy,Kurt_E2EL,Mode_C2SL,Mean_NodeEccentricity,Skew_Degree,Min_DegreeCentrality,SD_Betweenness,Skew_Betweenness,Median_Betweenness,Mode_Betweenness,SD_BetweennessCentrality,Mean_Closeness,SD_Closeness,Skew_Closeness,Mean_LocalClusteringCoefficient,Skew_LocalClusteringCoefficient,SD_NodeExpansion25,SD_NodeExpansion50
3,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,Min_SwitchesPerController,SwitchMappingEntropy,SD_Betweenness,Skew_Betweenness,Mean_Closeness,,,,,,,,,,,,,,,,
4,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_C2CL,Mean_NodeEccentricity,Skew_NodeEccentricity,VarCoeff_NodeEccentricity,SD_Degree,Skew_Degree,VarCoeff_Degree,Min_DegreeCentrality,SD_Betweenness,Mean_NodeExpansion50,,,,,,,,,,
