,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,TimeOut,Controllers,Switches,Hosts,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchesPerController_C3,SwitchesPerController_C4,SwitchesPerController_C5,SwitchesPerControllerNormalized_C1,SwitchesPerControllerNormalized_C2,SwitchesPerControllerNormalized_C3,SwitchesPerControllerNormalized_C4,SwitchesPerControllerNormalized_C5,Mean_SwitchesPerController,SD_SwitchesPerController,Var_SwitchesPerController,Kurt_SwitchesPerController,Min_SwitchesPerController,Max_SwitchesPerController,Median_SwitchesPerController,Mode_SwitchesPerController,Mean_SwitchesPerControllerNormalized,Kurt_SwitchesPerControllerNormalized,Min_SwitchesPerControllerNormalized,Max_SwitchesPerControllerNormalized,Median_SwitchesPerControllerNormalized,Mode_SwitchesPerControllerNormalized,SwitchMappingEntropy,VarCoeff_C2SL,Mode_C2SL,SD_C2CL,Kurt_C2CL,VarCoeff_C2CL,Kurt_C2RL,Skew_NodeEccentricity,VarCoeff_NodeEccentricity,Max_Degree,Min_DegreeCentrality,SD_Betweenness,Var_Betweenness,Skew_Betweenness,Kurt_Betweenness,Max_Betweenness,Mean_BetweennessCentrality,Skew_BetweennessCentrality,Kurt_BetweennessCentrality,SD_Betweenness_weighted,Var_Betweenness_weighted,Skew_Betweenness_weighted,Kurt_Betweenness_weighted,Max_Betweenness_weighted,Mean_BetweennessCentrality_weighted,Skew_BetweennessCentrality_weighted,Kurt_BetweennessCentrality_weighted,Skew_HopCount,Mean_NodeExpansion25,Min_NodeExpansion25,Median_NodeExpansion25,VarCoeff_NodeExpansion25,Min_NodeExpansion50,VarCoeff_NodeExpansion50,Mean_NodeExpansion75,Median_NodeExpansion75,GraphExpansion25,GraphExpansion75
1,TimeOut,Controllers,Switches,Hosts,SwitchesPerController_C1,SwitchesPerController_C2,SwitchesPerController_C4,SwitchesPerController_C5,SwitchesPerControllerNormalized_C1,SwitchesPerControllerNormalized_C2,SwitchesPerControllerNormalized_C3,SwitchesPerControllerNormalized_C4,SwitchesPerControllerNormalized_C5,Mean_SwitchesPerController,Var_SwitchesPerController,Kurt_SwitchesPerController,Min_SwitchesPerController,Max_SwitchesPerController,Median_SwitchesPerController,Mode_SwitchesPerController,Mean_SwitchesPerControllerNormalized,Kurt_SwitchesPerControllerNormalized,Min_SwitchesPerControllerNormalized,Max_SwitchesPerControllerNormalized,Median_SwitchesPerControllerNormalized,Mode_SwitchesPerControllerNormalized,SwitchMappingEntropy,VarCoeff_C2SL,SD_C2CL,Kurt_C2CL,VarCoeff_C2CL,Kurt_C2RL,SD_Degree,Max_Degree,VarCoeff_Degree,VarCoeff_DegreeCentrality,GraphCentralization,SD_Betweenness,Var_Betweenness,Skew_Betweenness,Kurt_Betweenness,Max_Betweenness,VarCoeff_Betweenness,Mean_BetweennessCentrality,Skew_BetweennessCentrality,Kurt_BetweennessCentrality,VarCoeff_BetweennessCentrality,SD_Betweenness_weighted,Var_Betweenness_weighted,Skew_Betweenness_weighted,Kurt_Betweenness_weighted,Max_Betweenness_weighted,VarCoeff_Betweenness_weighted,Mean_BetweennessCentrality_weighted,Skew_BetweennessCentrality_weighted,Kurt_BetweennessCentrality_weighted,VarCoeff_BetweennessCentrality_weighted,VarCoeff_HopCount,Mean_NodeExpansion25,Skew_NodeExpansion25,Kurt_NodeExpansion25,Min_NodeExpansion25,Median_NodeExpansion25,VarCoeff_NodeExpansion25,Min_NodeExpansion50,VarCoeff_NodeExpansion50,GraphExpansion25
2,TimeOut,Controllers,Switches,Hosts,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchesPerController_C3,SwitchesPerController_C4,SwitchesPerController_C5,SwitchesPerControllerNormalized_C1,SwitchesPerControllerNormalized_C2,SwitchesPerControllerNormalized_C3,SwitchesPerControllerNormalized_C4,SwitchesPerControllerNormalized_C5,Mean_SwitchesPerController,Var_SwitchesPerController,Skew_SwitchesPerController,Kurt_SwitchesPerController,Min_SwitchesPerController,Max_SwitchesPerController,Median_SwitchesPerController,VarCoeff_SwitchesPerController,Mode_SwitchesPerController,Mean_SwitchesPerControllerNormalized,Skew_SwitchesPerControllerNormalized,Kurt_SwitchesPerControllerNormalized,Min_SwitchesPerControllerNormalized,Max_SwitchesPerControllerNormalized,Median_SwitchesPerControllerNormalized,VarCoeff_SwitchesPerControllerNormalized,Mode_SwitchesPerControllerNormalized,SwitchMappingEntropy,VarCoeff_C2SL,SD_C2CL,Kurt_C2CL,VarCoeff_C2CL,Kurt_C2RL,VarCoeff_C2RL,SD_Degree,Max_Degree,Min_DegreeCentrality,GraphCentralization,SD_Betweenness,Var_Betweenness,Skew_Betweenness,Kurt_Betweenness,Max_Betweenness,VarCoeff_Betweenness,Mean_BetweennessCentrality,Skew_BetweennessCentrality,Kurt_BetweennessCentrality,Median_BetweennessCentrality,VarCoeff_BetweennessCentrality,SD_Betweenness_weighted,Var_Betweenness_weighted,Skew_Betweenness_weighted,Kurt_Betweenness_weighted,Max_Betweenness_weighted,Mean_BetweennessCentrality_weighted,Skew_BetweennessCentrality_weighted,Kurt_BetweennessCentrality_weighted,Max_ClosenessCentrality,VarCoeff_HopCount,SD_LocalClusteringCoefficient,Min_NodeExpansion25,VarCoeff_NodeExpansion25
3,TimeOut,Controllers,Switches,Hosts,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchesPerController_C3,SwitchesPerController_C4,SwitchesPerController_C5,SwitchesPerControllerNormalized_C1,SwitchesPerControllerNormalized_C2,SwitchesPerControllerNormalized_C3,SwitchesPerControllerNormalized_C4,SwitchesPerControllerNormalized_C5,Mean_SwitchesPerController,Var_SwitchesPerController,Kurt_SwitchesPerController,Min_SwitchesPerController,Max_SwitchesPerController,Median_SwitchesPerController,Mode_SwitchesPerController,Mean_SwitchesPerControllerNormalized,Kurt_SwitchesPerControllerNormalized,Min_SwitchesPerControllerNormalized,Max_SwitchesPerControllerNormalized,Median_SwitchesPerControllerNormalized,Mode_SwitchesPerControllerNormalized,SwitchMappingEntropy,VarCoeff_C2SL,Mode_C2SL,SD_C2CL,Kurt_C2CL,VarCoeff_C2CL,Kurt_C2RL,SD_Degree,Var_Degree,Max_Degree,SD_Betweenness,Var_Betweenness,Skew_Betweenness,Kurt_Betweenness,Max_Betweenness,Mean_BetweennessCentrality,Skew_BetweennessCentrality,Kurt_BetweennessCentrality,SD_Betweenness_weighted,Var_Betweenness_weighted,Skew_Betweenness_weighted,Kurt_Betweenness_weighted,Max_Betweenness_weighted,Mean_BetweennessCentrality_weighted,Skew_BetweennessCentrality_weighted,Kurt_BetweennessCentrality_weighted,Mean_Closeness,SD_Closeness,Var_Closeness,Median_Closeness,Mode_Closeness,Median_Farness,Mean_NodeExpansion25,Min_NodeExpansion25,VarCoeff_NodeExpansion25,Min_NodeExpansion50,VarCoeff_NodeExpansion50,GraphExpansion25,
4,TimeOut,Controllers,Switches,Hosts,SwitchesPerController_C1,SwitchesPerController_C2,SwitchesPerController_C4,SwitchesPerController_C5,SwitchesPerControllerNormalized_C1,SwitchesPerControllerNormalized_C2,SwitchesPerControllerNormalized_C3,SwitchesPerControllerNormalized_C4,SwitchesPerControllerNormalized_C5,Mean_SwitchesPerController,Var_SwitchesPerController,Kurt_SwitchesPerController,Min_SwitchesPerController,Max_SwitchesPerController,Median_SwitchesPerController,Mode_SwitchesPerController,Mean_SwitchesPerControllerNormalized,Kurt_SwitchesPerControllerNormalized,Min_SwitchesPerControllerNormalized,Max_SwitchesPerControllerNormalized,Median_SwitchesPerControllerNormalized,Mode_SwitchesPerControllerNormalized,SwitchMappingEntropy,VarCoeff_C2SL,Kurt_C2CL,VarCoeff_C2CL,Kurt_C2RL,Max_Degree,VarCoeff_Degree,Min_DegreeCentrality,VarCoeff_DegreeCentrality,SD_Betweenness,Var_Betweenness,Skew_Betweenness,Kurt_Betweenness,Max_Betweenness,VarCoeff_Betweenness,Mean_BetweennessCentrality,Skew_BetweennessCentrality,Kurt_BetweennessCentrality,VarCoeff_BetweennessCentrality,SD_Betweenness_weighted,Var_Betweenness_weighted,Skew_Betweenness_weighted,Kurt_Betweenness_weighted,Max_Betweenness_weighted,VarCoeff_Betweenness_weighted,Mean_BetweennessCentrality_weighted,Skew_BetweennessCentrality_weighted,Kurt_BetweennessCentrality_weighted,VarCoeff_BetweennessCentrality_weighted,Skew_Closeness,Skew_ClosenessCentrality,VarCoeff_HopCount,Mean_NodeExpansion25,Skew_NodeExpansion25,Kurt_NodeExpansion25,Min_NodeExpansion25,Median_NodeExpansion25,VarCoeff_NodeExpansion25,Min_NodeExpansion50,VarCoeff_NodeExpansion50,GraphExpansion25
