,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchMappingEntropy,Mode_C2SL,Skew_NodeEccentricity,SD_Betweenness,Skew_Betweenness,,,,,,,,,,,,,,,,,,,,,
1,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,Max_SwitchesPerController,VarCoeff_E2EL,Skew_C2SL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,SD_Degree,Skew_Degree,VarCoeff_Degree,Median_Betweenness,Mean_Closeness,SD_Closeness,Mean_ClosenessCentrality,Kurt_Farness,VarCoeff_EdgeDistinctPaths,Mean_NodeExpansion25,Mean_NodeExpansion50,SD_NodeExpansion50,,,,,,
2,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,Max_SwitchesPerController,SwitchMappingEntropy,Kurt_E2EL,Mode_C2SL,Mean_NodeEccentricity,Skew_Degree,Min_DegreeCentrality,SD_Betweenness,Skew_Betweenness,,,,,,,,,,,,,,,,,
3,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SwitchMappingEntropy,SD_Betweenness,Skew_Betweenness,Mean_Closeness,,,,,,,,,,,,,,,,,,,,,,
4,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,Max_SwitchesPerController,VarCoeff_E2EL,Skew_C2SL,SD_C2CL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,SD_Degree,Skew_Degree,Min_Degree,VarCoeff_Degree,Min_DegreeCentrality,SD_Betweenness,Mode_Betweenness,Max_BetweennessCentrality,Mean_Closeness,SD_Closeness,Mean_ClosenessCentrality,Skew_EdgeDistinctPaths,Skew_LocalClusteringCoefficient,Mean_NodeExpansion50,SD_NodeExpansion50,Skew_NodeExpansion50,SD_NodeExpansion75
