,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,TimeOut,Controllers,Links,Mean_E2EL,Skew_E2EL,Min_E2EL,Max_E2EL,VarCoeff_E2EL,Mode_C2SL,Mean_C2CL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,VarCoeff_NodeEccentricity_weighted,SD_Degree,Skew_Degree,Min_Degree,VarCoeff_Degree,Mode_Degree,Mean_DegreeCentrality,Min_DegreeCentrality,Mode_DegreeCentrality,SD_Betweenness,Skew_Betweenness,Min_Betweenness,Mode_Betweenness,SD_BetweennessCentrality,Max_BetweennessCentrality,SD_Closeness,VarCoeff_Closeness,Mean_Closeness_weighted,Skew_Closeness_weighted,Kurt_Closeness_weighted,SD_Farness,Kurt_HopCount,Mean_LocalClusteringCoefficient,Skew_LocalClusteringCoefficient,Mean_NodeExpansion50,SD_NodeExpansion50,SD_NodeExpansion75,Mean_S2SL,,,,,,
1,TimeOut,Controllers,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,Mean_E2EL,Skew_E2EL,Min_E2EL,VarCoeff_E2EL,Mode_E2EL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,Kurt_NodeEccentricity_weighted,VarCoeff_NodeEccentricity_weighted,SD_Degree,Skew_Degree,Min_Degree,Median_Degree,VarCoeff_Degree,Mean_DegreeCentrality,Assortativity,Mean_Betweenness,Min_Betweenness,Median_Betweenness,SD_BetweennessCentrality,Max_BetweennessCentrality,Mean_Closeness,SD_Closeness,VarCoeff_Closeness,Mean_ClosenessCentrality,Mean_Closeness_weighted,SD_Farness,Kurt_Farness,Kurt_HopCount,Skew_EdgeDistinctPaths,VarCoeff_EdgeDistinctPaths,Mean_LocalClusteringCoefficient,Min_LocalClusteringCoefficient,Mean_NodeExpansion50,SD_NodeExpansion50,Skew_NodeExpansion50,Mean_S2SL,Skew_S2SL,,
2,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,Max_SwitchesPerController,Mean_E2EL,Skew_E2EL,Kurt_E2EL,Max_E2EL,VarCoeff_E2EL,Mode_E2EL,Skew_C2SL,Kurt_C2SL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,Skew_Degree,Min_Degree,Mean_DegreeCentrality,Min_DegreeCentrality,Mean_Betweenness,SD_Betweenness,Skew_Betweenness,Min_Betweenness,Mode_Betweenness,SD_BetweennessCentrality,Max_BetweennessCentrality,SD_Closeness,Skew_Closeness,Max_Closeness,VarCoeff_Closeness,Mean_Closeness_weighted,Skew_Closeness_weighted,Kurt_Closeness_weighted,SD_Farness,Skew_EdgeDistinctPaths,Mean_LocalClusteringCoefficient,Skew_LocalClusteringCoefficient,Median_LocalClusteringCoefficient,SD_NodeExpansion25,Mean_NodeExpansion50,SD_NodeExpansion50,,,
3,TimeOut,Controllers,Switches,Links,SwitchesPerController_C1,SwitchesPerController_C2,SD_SwitchesPerController,SwitchMappingEntropy,Mean_E2EL,Skew_E2EL,Kurt_E2EL,Max_E2EL,Skew_C2SL,Mode_C2SL,Mean_C2CL,Mean_NodeEccentricity,Skew_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,Mean_Degree,SD_Degree,Skew_Degree,Min_Degree,Median_Degree,Mode_Degree,Mean_DegreeCentrality,Assortativity,Mean_Betweenness,SD_Betweenness,Skew_Betweenness,Min_Betweenness,Median_Betweenness,SD_BetweennessCentrality,Mean_Closeness,VarCoeff_Closeness,Mean_ClosenessCentrality,SD_ClosenessCentrality,Mean_Closeness_weighted,Skew_Closeness_weighted,Kurt_Closeness_weighted,SD_Farness,Kurt_HopCount,Skew_EdgeDistinctPaths,Skew_LocalClusteringCoefficient,SD_NodeExpansion50,Skew_NodeExpansion50,Mean_NodeExpansion75,Skew_S2SL
4,TimeOut,Controllers,Switches,Links,Mean_E2EL,Skew_E2EL,Kurt_E2EL,Max_E2EL,VarCoeff_E2EL,Mode_E2EL,Skew_C2SL,SD_C2CL,Mean_NodeEccentricity,Kurt_NodeEccentricity,VarCoeff_NodeEccentricity,Skew_NodeEccentricity_weighted,SD_Degree,Skew_Degree,Min_Degree,VarCoeff_Degree,Mean_DegreeCentrality,Min_DegreeCentrality,Mean_Betweenness,SD_Betweenness,Mode_Betweenness,SD_BetweennessCentrality,Max_BetweennessCentrality,Mean_Closeness,SD_Closeness,VarCoeff_Closeness,Mean_ClosenessCentrality,Mean_Closeness_weighted,Kurt_Closeness_weighted,Mean_Farness,SD_Farness,Kurt_HopCount,Skew_EdgeDistinctPaths,Min_LocalClusteringCoefficient,SD_NodeExpansion25,Mean_NodeExpansion50,Skew_NodeExpansion50,SD_NodeExpansion75,Mean_S2SL,,,,,
